RANK,WORD,PART OF SPEECH,FREQUENCY,DISPERSION
3642,   bacteria,n,8256,0.9
283,   bad,j,134910,0.96
3137,   badly,r,9652,0.96
1011,   bag,n,40007,0.93
2830,   bake,v,12253,0.88
1640,   balance,n,22243,0.96
2788,   balance,v,11536,0.95
4942,   balanced,j,5486,0.86
915,   ball,n,43512,0.94
4827,   balloon,n,5187,0.94
3747,   ballot,n,9217,0.77
3301,   ban,v,9226,0.94
3949,   ban,n,7070,0.94
4729,   banana,n,5458,0.93
1284,   band,n,29769,0.96
662,   bank,n,58992,0.94
4471,   banker,n,5933,0.92
3991,   banking,n,7120,0.92
4211,   bankruptcy,n,6690,0.9
994,   bar,n,39853,0.95
3462,   bare,j,8943,0.9
1987,   barely,r,18533,0.93
4147,   barn,n,6785,0.91
3109,   barrel,n,9951,0.94
2632,   barrier,n,12772,0.93
537,   base,v,75887,0.93
939,   base,n,41154,0.96
1380,   baseball,n,28551,0.92
3632,   basement,n,7988,0.94
1147,   basic,j,34788,0.93
1702,   basically,r,23265,0.88
1314,   basis,n,30377,0.92
3283,   basket,n,9316,0.94
1813,   basketball,n,20955,0.91
3727,   bat,n,7694,0.94
3923,   bath,n,7149,0.93
2426,   bathroom,n,14725,0.9
3221,   battery,n,9793,0.92
1203,   battle,n,31989,0.96
4810,   battle,v,5240,0.94
3561,   bay,n,8209,0.94
2,   be,v,12545825,0.97
1951,   beach,n,18451,0.95
3777,   beam,n,7625,0.93
2373,   bean,n,14996,0.91
1628,   bear,v,22190,0.97
2709,   bear,n,12194,0.94
4745,   beard,n,5528,0.91
4472,   beast,n,6052,0.9
1040,   beat,v,38268,0.95
2685,   beat,n,13118,0.88
995,   beautiful,j,40052,0.94
1737,   beauty,n,21060,0.95
89,   because,c,438539,0.96
509,   because,i,77116,0.97
139,   become,v,259102,0.97
684,   bed,n,60304,0.9
1883,   bedroom,n,20387,0.9
4292,   bee,n,6342,0.92
3537,   beef,n,8416,0.93
1916,   beer,n,19349,0.93
220,   before,i,172769,0.98
368,   before,c,107448,0.96
706,   before,r,55608,0.95
3483,   beg,v,8542,0.93
164,   begin,v,218617,0.98
1204,   beginning,n,31866,0.97
4483,   behalf,i,5727,0.95
3694,   behave,v,7546,0.97
674,   behavior,n,62625,0.88
3789,   behavioral,j,8320,0.85
422,   behind,i,95047,0.93
2069,   behind,r,17347,0.95
1686,   being,n,21695,0.95
1385,   belief,n,28844,0.91
213,   believe,v,178397,0.96
2669,   bell,n,12421,0.94
3842,   belly,n,7784,0.89
1648,   belong,v,21856,0.97
1457,   below,r,26765,0.92
1943,   below,i,18353,0.96
2453,   belt,n,13826,0.94
2805,   bench,n,11666,0.93
2213,   bend,v,16285,0.91
1991,   beneath,i,19047,0.9
815,   benefit,n,48594,0.94
2254,   benefit,v,15424,0.94
1992,   beside,i,19952,0.86
3037,   besides,r,10537,0.92
4196,   besides,i,6198,0.97
310,   best,j,124850,0.96
970,   best,r,39959,0.97
2722,   bet,v,12079,0.94
4468,   bet,n,5801,0.95
453,   better,j,83895,0.98
496,   better,r,78334,0.98
140,   between,i,264158,0.94
747,   beyond,i,50742,0.97
4863,   beyond,r,5036,0.96
3962,   bias,n,7388,0.89
2766,   Bible,n,11539,0.96
4413,   bicycle,n,5960,0.93
4107,   bid,n,6954,0.9
162,   big,j,227169,0.96
2182,   bike,n,17306,0.87
809,   bill,n,49011,0.94
613,   billion,m,65243,0.93
2519,   bind,v,13109,0.96
4932,   biography,n,5015,0.95
2588,   biological,j,13233,0.92
4266,   biology,n,6334,0.93
1126,   bird,n,34835,0.94
1508,   birth,n,24515,0.97
2455,   birthday,n,13757,0.95
3469,   bishop,n,8639,0.93
956,   bit,n,41915,0.93
1228,   bit,r,32087,0.94
3179,   bite,v,9982,0.91
3890,   bite,n,7160,0.94
3461,   bitter,j,8353,0.96
254,   black,j,150718,0.96
1993,   black,n,18441,0.93
3174,   blade,n,10394,0.88
1810,   blame,v,19798,0.96
4631,   blank,j,5585,0.94
3332,   blanket,n,9385,0.91
4794,   blast,n,5241,0.94
3952,   blend,v,7238,0.91
4202,   bless,v,6293,0.96
4728,   blessing,n,5222,0.97
2739,   blind,j,12005,0.94
4658,   blink,v,6160,0.84
1321,   block,n,28826,0.96
2428,   block,v,13688,0.97
4870,   blond,j,5479,0.88
693,   blood,n,56351,0.95
4169,   bloody,j,6513,0.94
1421,   blow,v,27254,0.94
3822,   blow,n,7324,0.95
845,   blue,j,47622,0.93
3725,   blue,n,7671,0.94
667,   board,n,58436,0.95
4584,   boast,v,5731,0.92
1237,   boat,n,32079,0.93
314,   body,n,125165,0.96
4300,   boil,v,6180,0.94
3933,   bold,j,6936,0.96
4957,   bolt,n,5148,0.92
2006,   bomb,n,18284,0.93
4869,   bomb,v,5275,0.92
3110,   bombing,n,10462,0.9
1894,   bond,n,19856,0.92
1450,   bone,n,26282,0.94
4213,   bonus,n,6531,0.92
242,   book,n,154013,0.98
3198,   boom,n,9457,0.96
3726,   boost,v,7863,0.92
2369,   boot,n,15033,0.91
4346,   booth,n,6191,0.92
1351,   border,n,28636,0.94
4969,   boring,j,4922,0.96
1092,   born,v,35352,0.97
3241,   borrow,v,9150,0.97
2344,   boss,n,14587,0.95
256,   both,d,146338,0.97
376,   both,r,106361,0.95
2209,   bother,v,15870,0.94
1753,   bottle,n,21569,0.92
1520,   bottom,n,24653,0.95
2682,   bottom,j,12169,0.95
3827,   bounce,v,7451,0.93
2800,   boundary,n,12082,0.9
4138,   bow,n,6800,0.91
4940,   bow,v,5293,0.9
1843,   bowl,n,20662,0.91
